SN,Date,Time,Temperature,Humidity,DustDensity,Pressur,Uv
1, 2021-02-23, 13:47:00, 21.0, 34.0, 0.00, 867.33
2, 2021-02-23, 13:47:10, 21.0, 34.0, 0.00, 867.29
3, 2021-02-23, 13:47:16, 21.0, 34.0, 0.00, 867.41
4, 2021-02-23, 13:47:22, 21.0, 34.0, 0.00, 867.37
5, 2021-02-23, 13:47:28, 21.0, 33.0, 0.00, 867.36
6, 2021-02-23, 13:47:33, 21.0, 34.0, 0.00, 867.35
7, 2021-02-23, 13:47:39, 21.0, 34.0, 0.00, 867.27
8, 2021-02-23, 13:47:48, 21.0, 35.0, 0.00, 867.31
9, 2021-02-23, 13:47:54, 21.0, 35.0, 0.00, 867.37
10, 2021-02-23, 13:48:00, 21.0, 35.0, 0.00, 867.32
11, 2021-02-23, 13:48:06, 21.0, 35.0, 0.00, 867.32
12, 2021-02-23, 13:48:12, 21.0, 35.0, 0.00, 867.39
13, 2021-02-23, 13:48:18, 21.0, 36.0, 0.00, 867.37
14, 2021-02-23, 13:48:26, 21.0, 36.0, 0.00, 867.37
15, 2021-02-23, 13:48:32, 21.0, 37.0, 0.00, 867.38
16, 2021-02-23, 13:48:38, 21.0, 36.0, 0.00, 867.31
17, 2021-02-23, 13:48:45, 21.0, 36.0, 0.00, 867.32
18, 2021-02-23, 13:48:53, 21.0, 35.0, 0.00, 867.32
19, 2021-02-23, 13:49:02, 21.0, 34.0, 0.00, 867.36
20, 2021-02-23, 13:49:08, 21.0, 34.0, 0.00, 867.34
21, 2021-02-23, 13:49:14, 21.0, 34.0, 0.00, 867.33
22, 2021-02-23, 13:49:22, 21.0, 34.0, 0.00, 867.31
23, 2021-02-23, 13:49:28, 21.0, 34.0, 0.00, 867.32
24, 2021-02-23, 13:49:39, 21.0, 35.0, 0.00, 867.29
25, 2021-02-23, 13:49:46, 21.0, 39.0, 0.00, 867.28
26, 2021-02-23, 13:49:54, 21.0, 41.0, 0.00, 867.28
27, 2021-02-23, 13:50:00, 21.0, 44.0, 0.00, 867.35
28, 2021-02-23, 13:50:05, 22.0, 44.0, 0.00, 867.33
29, 2021-02-23, 13:50:12, 22.0, 42.0, 0.00, 867.28
30, 2021-02-23, 13:50:18, 22.0, 41.0, 0.00, 867.33

31, 2021-03-05, 15:37:22, 19.0, 49.0, None, None
32, 2021-03-05, 15:37:28, 19.0, 49.0, None, None
33, 2021-03-05, 15:37:35, 19.0, 49.0, None, None
34, 2021-03-05, 15:37:41, 19.0, 49.0, None, None
35, 2021-03-05, 15:37:52, 19.0, 49.0, None, None
36, 2021-03-05, 15:38:00, 19.0, 50.0, None, None
37, 2021-03-05, 15:38:05, 19.0, 50.0, None, None
38, 2021-03-05, 15:38:12, 19.0, 50.0, None, None
39, 2021-03-05, 15:38:25, 19.0, 50.0, None, None
40, 2021-03-05, 15:38:31, 19.0, 50.0, None, None
41, 2021-03-05, 15:38:38, 19.0, 49.0, None, None
42, 2021-03-05, 15:38:46, 19.0, 49.0, None, None
43, 2021-03-05, 15:38:52, 19.0, 48.0, None, None
